"Your VAT-ID is valid.","Die angegebene USt.-ID ist gültig."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Sie wurden als EU-Unternehmen bestätigt."
"We have identified you as business customer.","Sie wurden als Geschäftskunde eingestuft."
"Your VAT-ID is invalid, please check the syntax.","Die angegebene USt.-ID ist ungültig oder falsch angegeben."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Die angegebene USt.-ID ist ungültig oder falsch angegeben. Falls dies trotz richtiger Eingabe weiterhin der Fall ist, nehmen Sie bitte direkt Kontakt mit uns auf."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Der Dienst dieses Mitgliedsstaates ist derzeit nicht erreichbar, wir konnten ihre USt.-ID nicht überprüfen und können ihnen demnach keine USt.-befreite Bestellung ermöglichen. Sie können dennoch jetzt ein Kundenkonto erstellen und später ihre Ust.-ID ergänzen."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Derzeit kann ihre USt.-ID nicht überprüft werden, da der EU-MIAS Abfragedienst nicht erreichbar ist."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Es kam zu einem Fehler bei ihrer Anfrage. Wenn dieser Fehler weiterhin auftritt, nehmen Sie bitte direkt Kontakt mit uns auf."
"VAT-ID validation results","Ergebnisse der USt.-ID Validierung"
"Please wait while we validate your VAT-ID...","Bitte warten sie einen kurzen Moment, wir validieren ihre Ust.-ID..."
"EU VAT-ID Syntax Information","Informationen zum Aufbau der USt.-ID"
"Syntax Information","Eingabehilfe"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Bitte geben Sie Ihre USt.-ID inklusive Ländercode an."
"Please wait while we validate your VAT-ID","Bitte warten Sie, während wir Ihre USt.-ID überprüfen"

"Debug mode","Debug Modus"
"IPv6 compatibility mode","IPv6 Kompatibilitätsmodus"
"This binds your server IPv4 address to the request made to VIES instead of using your IPv6 address. You might need to enable this depending on your hosting environment. Enable it if you have problems with VIES connectivity.","Verwenden Sie diese Einstellung bei dauerhaften Verbindungsproblemen mit der EU Schnittstelle."
"Server IPv4 address","IPv4 Adresse Ihres Servers"
"Logs all module relevant information to /var/log/system.log - OFF per default.","Protokolliert relevante Informationen nach /var/log/system.log - Standart: Deaktiviert."
"License Key","Lizenzschlüssel"
"Enable EU VAT Enhanced","EU VAT Enhanced aktivieren"
"VAT validaton and customer group assignment.","USt.-ID Validierung und Kundengruppenzuweisung."
"Current EU member states","Derzeite EU-Mitgliedsstaaten"
"Own VAT-ID","Shopbetreiber USt.-ID"
"Please enter your own VAT-ID including the 2-letter country code.","Bitte geben Sie ihre eigene bzw. die USt.-ID des Shopbetreibers ein. Dies ist für eine korrekte Validierung notwendig."
"Email Recipient","Empfänger für Validierungsbetätigungen"
"Offline Validation","Offline Validierung"
"If EU-VIES is offline, do you want to allow your customers to purchase without VAT, when they enter a VAT-ID?","Möchten Sie ihren Kunden erlauben, ohne USt. zu bestellen, wenn die Abfrageschnittstelle nicht verfügbar ist?"

"Group assignment settings","Gruppenzuweisung"
"Customer group for business customers inside EU with valid VAT-ID","Kundengruppe für EU-Kunden mit gültiger USt.-ID"
"Customer group for business customers (with valid VAT-ID) from own country","Kundengruppe für Kunden mit gültiger USt.-ID vom eigenen Land"
"Customer Group for customers outside EU","Kundengruppe für nicht-EU Kunden"

"Additional 0% VAT Groups","Zusätzliche USt.-freie Gruppen"
"In case you have more than one 0% VAT group, select them here.","Falls Sie mit zusätzlichen Ust.-freien Gruppen arbeiten, außer der oben gewählten."

"Excluded Groups","Ausgenommene Kundengruppen"
"The selected groups will be excluded from the automatic (re-)grouping after each validation.","Die Kunden dieser Gruppen werden nicht automatisch neu zugeordnet, wenn eine USt.-Validierung ausgeführt wird."

"Validate VAT-ID","USt.-ID prüfen"
"The VAT-ID is valid.","Die USt.-ID ist gültig."
"The VAT-ID is invalid.","Die USt.-ID ist ungültig."
"The VAT-ID is invalid, please check the syntax.","DIe USt.-ID ist ungültig. Bitte überprüfen Sie die Schreibweise."
"Currently the European VIES service is unavailable.","Derzeit ist der EU MIAS Dienst leider nicht erreichbar."
"Currently the member state service is unavailable.","Derzeit kann die USt.-ID nicht überprüft werden, da der zugehörige Mitgliedsstaat nicht erreichbar ist."
"There was an error processing your request.","Allgemeiner Fehler bei der USt.-ID Abfrage"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Bitte geben Sie die USt.-ID inklusive dem zweistelligen Ländercode an."
